"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
131, 2.275699973110000e-01, 5.869456802648413e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
132, 2.409400045870000e-01, 5.915585896897953e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
133, 2.545700073240000e-01, 5.951657836311273e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
134, 2.684499919410000e-01, 5.977765596976551e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
135, 2.825500071050000e-01, 5.994005483718394e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
136, 2.968699932100000e-01, 6.000550062925582e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
137, 3.113999962810000e-01, 5.997565198183213e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
138, 3.261100053790000e-01, 5.985254444802346e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
139, 3.409900069240000e-01, 5.963847719943702e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
140, 3.560400009160000e-01, 5.933561549045978e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
141, 3.712300062180000e-01, 5.894684318665333e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
142, 3.865399956700000e-01, 5.847520956655861e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
143, 4.019699990750000e-01, 5.792324246601335e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
144, 4.174999892710000e-01, 5.729416860686566e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
145, 4.331099987030000e-01, 5.659141825851464e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
146, 4.487800002100000e-01, 5.581859897363720e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
147, 4.645099937920000e-01, 5.497835513414191e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
148, 4.802699983120000e-01, 5.407492053959814e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
149, 4.960500001910000e-01, 5.311153541819326e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
150, 5.118399858470000e-01, 5.209138375948307e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
151, 5.276100039480000e-01, 5.101897737545535e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
152, 5.433599948880000e-01, 4.989683951066199e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
153, 5.590599775310000e-01, 4.872955796694115e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
154, 5.747100114820000e-01, 4.751950934859488e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
155, 5.902799963950000e-01, 4.627132533375768e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
156, 6.057599782940000e-01, 4.498807223669178e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
