"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          47, -6.67651826e+00, 4.08818836e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.85399122e+00, 6.67651826e+00, 0.00000000e+00, 0.00000000e+00, -1.31216020e+16, 9.00000000e+01, 0.00000000e+00, 1.94719852e+00, 4.78416424e+00, 4.36037943e+00, 7.46654977e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0157638000
          48, -9.52661457e+00, 5.83336902e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.98119338e+00, 9.52661457e+00, 0.00000000e+00, 0.00000000e+00, -1.39413144e+16, 9.00000000e+01, 0.00000000e+00, 2.04334150e+00, 4.88947585e+00, 4.41263674e+00, 7.56286593e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0160009667
          49, -1.04996997e+01, 6.42921181e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.49302356e+00, 1.04996997e+01, 0.00000000e+00, 0.00000000e+00, -1.41329928e+16, 9.00000000e+01, 0.00000000e+00, 1.98513271e+00, 4.82212985e+00, 4.40300577e+00, 7.51477192e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0162925167
          50, -5.71483233e+00, 3.49932556e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.44885829e+00, 5.71483233e+00, 0.00000000e+00, 0.00000000e+00, -1.27015310e+16, 9.00000000e+01, 0.00000000e+00, 2.00207134e+00, 4.83964971e+00, 4.42525376e+00, 7.52398065e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0167148167
          51, -7.14403261e+00, 4.37445834e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.24719297e+00, 7.14403261e+00, 0.00000000e+00, 0.00000000e+00, -1.32925630e+16, 9.00000000e+01, 0.00000000e+00, 2.01766062e+00, 4.85348701e+00, 4.44712650e+00, 7.54650765e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0169760500
          52, -9.69515932e+00, 5.93657291e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.74452104e+00, 9.69515932e+00, 0.00000000e+00, 0.00000000e+00, -1.39768722e+16, 9.00000000e+01, 0.00000000e+00, 2.06932152e+00, 4.91837855e+00, 4.48978164e+00, 7.60993917e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0172645333
          53, -4.20012134e+00, 2.57183258e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.79297758e+00, 4.20012134e+00, 0.00000000e+00, 0.00000000e+00, -1.17590096e+16, 9.00000000e+01, 0.00000000e+00, 2.04854523e+00, 4.89421189e+00, 4.43698359e+00, 7.57631900e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0176052000
          54, -6.11323125e+00, 3.74327454e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.02884617e+00, 6.11323125e+00, 0.00000000e+00, 0.00000000e+00, -1.28882088e+16, 9.00000000e+01, 0.00000000e+00, 2.15278855e+00, 4.99599988e+00, 4.51406382e+00, 7.67166198e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0178966000
          55, -6.75978052e+00, 4.13917179e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.15935489e+00, 6.75978052e+00, 0.00000000e+00, 0.00000000e+00, -1.31534434e+16, 9.00000000e+01, 0.00000000e+00, 2.10845777e+00, 4.95300479e+00, 4.50677990e+00, 7.64387537e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0182845333
          56, -8.46202890e+00, 5.18149830e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.58282377e+00, 8.46202890e+00, 0.00000000e+00, 0.00000000e+00, -1.36892845e+16, 9.00000000e+01, 0.00000000e+00, 2.09170799e+00, 4.92525709e+00, 4.49807381e+00, 7.61513789e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0186020833
          57, -6.71883395e+00, 4.11409924e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.27178934e+00, 6.71883395e+00, 0.00000000e+00, 0.00000000e+00, -1.31378638e+16, 9.00000000e+01, 0.00000000e+00, 2.03122402e+00, 4.86373934e+00, 4.42353122e+00, 7.55426374e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0189847000
          58, -1.33058341e+01, 8.14747356e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.38897582e+00, 1.33058341e+01, 0.00000000e+00, 0.00000000e+00, -1.45459115e+16, 9.00000000e+01, 0.00000000e+00, 2.05395333e+00, 4.90943347e+00, 4.44247079e+00, 7.59078957e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0192335167
          59, -5.61730946e+00, 3.43961003e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.23034062e+00, 5.61730946e+00, 0.00000000e+00, 0.00000000e+00, -1.26527092e+16, 9.00000000e+01, 0.00000000e+00, 1.96520838e+00, 4.82186047e+00, 4.36945673e+00, 7.50476788e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0195983000
          60, -7.29119646e+00, 4.46457020e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.80396881e+00, 7.29119646e+00, 0.00000000e+00, 0.00000000e+00, -1.33426714e+16, 9.00000000e+01, 0.00000000e+00, 2.03110869e+00, 4.88305566e+00, 4.42775287e+00, 7.58613832e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0198330500
          61, -7.12408804e+00, 4.36224581e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.41974970e+00, 7.12408804e+00, 0.00000000e+00, 0.00000000e+00, -1.32856424e+16, 9.00000000e+01, 0.00000000e+00, 1.96304189e+00, 4.81561957e+00, 4.35538238e+00, 7.51953909e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0201962333
          62, -5.28674935e+00, 3.23720033e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.47602474e+00, 5.28674935e+00, 0.00000000e+00, 0.00000000e+00, -1.24769870e+16, 9.00000000e+01, 0.00000000e+00, 2.05395001e+00, 4.91148500e+00, 4.44356022e+00, 7.61322980e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0206889667
          63, -5.93554067e+00, 3.63447044e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.77568320e+00, 5.93554067e+00, 0.00000000e+00, 0.00000000e+00, -1.28073763e+16, 9.00000000e+01, 0.00000000e+00, 2.15506425e+00, 5.01190667e+00, 4.54730599e+00, 7.70157695e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0209506667
          64, -5.80112133e+00, 3.55216233e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.96208555e+00, 5.80112133e+00, 0.00000000e+00, 0.00000000e+00, -1.27436609e+16, 9.00000000e+01, 0.00000000e+00, 2.09823120e+00, 4.95600430e+00, 4.51034767e+00, 7.64558408e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0213084000
          65, -5.52096603e+00, 3.38061669e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.56329506e+00, 5.52096603e+00, 0.00000000e+00, 0.00000000e+00, -1.26031708e+16, 9.00000000e+01, 0.00000000e+00, 2.11111970e+00, 4.95050285e+00, 4.49032460e+00, 7.66192965e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0215549000
          66, -2.49402108e+00, 1.52714747e-16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.42080484e+00, 2.49402108e+00, 0.00000000e+00, 0.00000000e+00, -9.86891788e+15, 9.00000000e+01, 0.00000000e+00, 2.06229374e+00, 4.90777751e+00, 4.45230324e+00, 7.60564469e+00, 0.00000000e+00, 5.0000000000, 4.0000000000, 0.0218304833
