"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
1848	2.400000000000000e-01	2.800000000000000e-01	1.562871136947199e+63	7.192698926056257e+69	-1.477685044893897e+69	1.912928126776361e+76	4.698669692104568e+74	1.503217245819324e+09	7.664163022622549e+00	9.397339384209135e+74	
1849	2.600000000000000e-01	2.800000000000000e-01	2.004204418767540e+65	4.774645223202015e+71	-1.043758408976448e+71	6.699905069672623e+77	1.851913183332418e+76	4.620070602556671e+08	7.175323177389623e+00	3.703826366664836e+76	
1850	2.800000000000000e-01	2.800000000000000e-01	1.467471075926359e+66	-3.516463681945772e+71	4.704356343814774e+71	6.519855885622445e+78	1.600579673818811e+78	5.453530567232560e+09	3.427748860394831e-01	3.201159347637622e+78	
1851	2.999999999999999e-01	2.800000000000000e-01	1.212727266619940e+66	6.740906228016707e+70	-4.521978447860923e+71	3.078408016007373e+77	5.541507662626390e+76	2.284729557566325e+08	1.577431520204007e+00	1.108301532525278e+77	
1852	3.200000000000000e-01	2.800000000000000e-01	5.578240106145603e+65	8.656808357982049e+70	-3.226561784006659e+70	1.157788635576012e+77	2.703212719052896e+76	2.422997816170318e+08	6.729157115554625e-01	5.406425438105791e+76	
1853	3.400000000000000e-01	2.800000000000000e-01	1.642600143052619e+66	4.825893275222546e+71	-2.923672260458853e+71	2.029602094572206e+77	2.651237777999602e+76	8.070247008113989e+07	2.418363130636329e+00	5.302475555999204e+76	
1854	3.600000000000000e-01	2.800000000000000e-01	2.776963138321953e+66	7.327884127302337e+71	-6.429345950341135e+71	6.449578185132590e+77	1.184614403017705e+77	2.132931450673733e+08	1.520238733205074e+00	2.369228806035410e+77	
1855	3.800000000000000e-01	2.800000000000000e-01	2.281262629505585e+67	5.616884051924204e+71	-2.778797724155749e+70	3.663493264826113e+77	8.985437663272075e+76	1.969400091654391e+07	3.513290087776187e-01	1.797087532654415e+77	
1856	4.000000000000000e-01	2.800000000000000e-01	1.251912090517386e+67	-2.961075348763989e+71	1.509138672834924e+72	3.050353048475733e+77	5.264315838693586e+76	2.102510183649543e+07	1.694412450758028e+00	1.052863167738717e+77	
1857	4.200000000000000e-01	2.800000000000000e-01	1.739130193209830e+66	1.832817867939443e+71	1.636047255141417e+71	9.908435604997316e+76	2.043280544000688e+76	5.874432379986177e+07	1.165695058096939e+00	4.086561088001377e+76	
1858	4.399999999999999e-01	2.800000000000000e-01	4.234156667812108e+65	-8.615446782479834e+70	9.444829709365446e+70	1.594669746761798e+77	3.504197145575367e+76	4.138010730937445e+08	9.387158013394729e-01	7.008394291150734e+76	
1859	4.600000000000000e-01	2.800000000000000e-01	2.531346432576225e+66	4.180320120852356e+70	-1.056145552231763e+71	2.158957817795810e+77	5.333683678306646e+76	1.053527010303051e+08	2.764923463198437e-01	1.066736735661329e+77	
1860	4.800000000000000e-01	2.800000000000000e-01	9.245489690018951e+65	3.585175265235808e+71	-1.070158788414201e+71	2.453437025822292e+77	4.240950586652814e+76	2.293524047315292e+08	1.690022999602186e+00	8.481901173305629e+76	
1861	5.000000000000000e-01	2.800000000000000e-01	2.680027099168755e+66	3.769445752725065e+71	-2.375572297838243e+71	5.832181819504374e+77	1.365452804268424e+77	2.547460816146107e+08	6.587792302700338e-01	2.730905608536848e+77	
1862	5.200000000000000e-01	2.800000000000000e-01	1.591901365454741e+66	1.687929534903139e+71	1.266290418166951e+71	6.908099307173113e+76	1.377395946310800e+76	4.326260333087076e+07	1.274571597709401e+00	2.754791892621600e+76	
1863	5.400000000000000e-01	2.800000000000000e-01	6.587280505863383e+66	7.510155344722113e+71	-1.653087916992989e+71	3.996538349550434e+77	8.869199699317977e+76	6.732064689991145e+07	8.998549019777976e-01	1.773839939863595e+77	
1864	5.600000000000001e-01	2.800000000000000e-01	1.833435351539981e+66	2.556398740068734e+71	9.622709491545467e+70	1.690386661689027e+77	3.717280876759453e+76	1.013747464189875e+08	9.358410597910537e-01	7.434561753518906e+76	
1865	5.800000000000001e-01	2.800000000000000e-01	2.514192333446707e+66	-3.855465754703375e+70	3.135758150303555e+71	8.764612009737502e+76	1.694888993200431e+76	3.370643070247746e+07	1.368912682911450e+00	3.389777986400861e+76	
1866	6.000000000000000e-01	2.800000000000000e-01	6.661087438161444e+65	1.116197319303070e+71	-2.882646661209404e+70	4.584601782674027e+77	1.121210955951344e+77	8.416125492722962e+08	3.773028643103719e-01	2.242421911902688e+77	
1867	6.200000000000000e-01	2.800000000000000e-01	3.536858489194301e+64	-4.668315884007514e+69	8.387130579576477e+70	1.198728503928431e+77	5.030159766024348e+75	7.111056013963147e+08	5.632878293076890e+00	1.006031953204870e+76	
1868	6.400000000000000e-01	2.800000000000000e-01	2.540917441410040e+66	-5.313798299382418e+70	-2.096482132371830e+71	7.439996364112581e+76	1.629885265860740e+76	3.207277102549743e+07	9.505672030719560e-01	3.259770531721479e+76	
1869	6.599999999999999e-01	2.800000000000000e-01	7.387595243280088e+66	5.473981815364864e+71	-3.909390222772082e+70	1.044313031390665e+78	2.559823319674755e+77	1.732514597360504e+08	3.569410877029376e-01	5.119646639349510e+77	
1870	6.799999999999999e-01	2.800000000000000e-01	3.029848093946093e+66	2.096270180304990e+72	5.587658926981486e+71	2.456433590075585e+78	4.199333165518497e+77	6.929940108068684e+08	1.720269813001140e+00	8.398666331036993e+77	
1871	7.000000000000000e-01	2.800000000000000e-01	1.246339341618786e+66	7.592867347612336e+71	5.015567318820060e+71	1.600270045300630e+78	3.170167448496122e+77	1.271791454636506e+09	1.294853718466513e+00	6.340334896992245e+77	
1872	7.200000000000000e-01	2.800000000000000e-01	3.925389931329402e+65	1.489900686227909e+71	1.437791771041684e+71	4.644954284352521e+77	1.024721903104343e+77	1.305248549864832e+09	9.233786255734970e-01	2.049443806208686e+77	
1873	7.400000000000000e-01	2.800000000000000e-01	6.541982869085961e+64	-1.460943841160572e+70	-8.688447966735655e+70	1.219209302309663e+77	1.564843642439597e+76	1.196001024272198e+09	2.462926126812336e+00	3.129687284879194e+76	
1874	7.600000000000000e-01	2.800000000000000e-01	6.291861233218020e+65	2.155865456782173e+70	-2.214795704241968e+71	3.308109204812097e+77	7.286502592860988e+76	5.790419021315773e+08	9.295597381735377e-01	1.457300518572198e+77	
1875	7.800000000000000e-01	2.800000000000000e-01	4.218766477364863e+66	2.705784234946507e+71	-5.733221790185712e+71	3.083598759304692e+77	6.518154129493169e+76	7.725189536402777e+07	1.081321619217768e+00	1.303630825898634e+77	
1876	8.000000000000000e-01	2.800000000000000e-01	8.447089687839604e+65	-1.962405641770121e+70	-7.569977435537429e+70	1.381234504068041e+77	3.362588235795156e+76	1.990382699875866e+08	4.150235028480838e-01	6.725176471590312e+76	
1877	8.200000000000001e-01	2.800000000000000e-01	7.832258250039807e+65	9.639582047220168e+70	-1.054129439086047e+71	6.141396594273211e+77	1.502785036315167e+77	9.593561577898233e+08	3.724012907289305e-01	3.005570072630334e+77	
1878	8.399999999999999e-01	2.800000000000000e-01	9.104361989721971e+65	-9.334011681506214e+70	-1.943374897017128e+71	5.728017716706407e+77	1.368189637207813e+77	7.513923758481809e+08	5.463582653955238e-01	2.736379274415625e+77	
1879	8.600000000000000e-01	2.800000000000000e-01	4.061320124082701e+64	-1.237728453783653e+71	3.767272459063957e+70	3.019301537448361e+77	2.396310965527907e+76	2.950162622392570e+09	3.709402147229215e+00	4.792621931055815e+76	
1880	8.800000000000000e-01	2.800000000000000e-01	4.741651300699144e+66	6.297992103845832e+71	-4.805767272189366e+71	6.104807232152432e+77	1.360752844073547e+77	1.434893413474866e+08	8.821295847336266e-01	2.721505688147094e+77	
1881	9.000000000000001e-01	2.800000000000000e-01	1.737911864579533e+66	1.600986077459011e+71	-3.183664214000884e+71	4.201533198063002e+77	9.590461429361804e+76	2.759190964980868e+08	7.807176166460770e-01	1.918092285872361e+77	
1882	9.199999999999998e-01	2.800000000000000e-01	6.483336827486445e+65	-8.690896619268667e+70	-1.029687493310030e+71	1.892285625966505e+77	4.380668011730728e+76	3.378405386219221e+08	7.151257378931525e-01	8.761336023461456e+76	
1883	9.399999999999999e-01	2.800000000000000e-01	1.579850253918588e+65	3.056165956113258e+70	1.268527177064788e+71	3.962478520813402e+77	8.559104466713941e+76	2.708834095346799e+09	1.003631827577103e+00	1.711820893342788e+77	
1884	9.600000000000000e-01	2.800000000000000e-01	2.425547985636137e+65	-2.322006984343144e+69	-4.332885488330157e+70	1.552487235045184e+76	2.910931479657153e+75	6.000564608276996e+07	1.460575509509805e+00	5.821862959314306e+75	
1885	9.800000000000000e-01	2.800000000000000e-01	6.559336234945241e+65	-3.077204839727046e+71	1.655680971938596e+71	3.484496659852880e+77	6.384316205288625e+76	4.866587087940251e+08	1.527298857405340e+00	1.276863241057725e+77	
